batch,model_1,model_2,auc_1,auc_2,z_score,p_value,significant
0,raw,ComBat,0.9785365242450821,0.9785365242450821,0.0,0.0,Yes
1,raw,ComBat,0.9983568959025092,0.9983568959025092,0.0,0.0,Yes
2,raw,ComBat,0.9935757420017988,0.9935757420017988,0.0,0.0,Yes
3,raw,ComBat,,,,,No
0,raw,BART/RF,0.9785365242450821,0.43466984087207117,-22.396035735103958,4.301990527298607e-111,Yes
1,raw,BART/RF,0.9983568959025092,0.3686543662068258,-18.257029341774107,1.8192370471661644e-74,Yes
2,raw,BART/RF,0.9935757420017988,0.4206861107542079,-22.620908433433353,2.698660546810476e-113,Yes
3,raw,BART/RF,,,,,No
0,raw,Riemannian,0.9785365242450821,0.20507455206114525,-40.05746348912631,0.0,Yes
1,raw,Riemannian,0.9983568959025092,0.21870400164310408,-35.284898579879325,1.0010639501446192e-272,Yes
2,raw,Riemannian,0.9935757420017988,0.23628420917384044,-37.24799682392431,1.1417252419650887e-303,Yes
3,raw,Riemannian,,,,,No
0,ComBat,BART/RF,0.9785365242450821,0.43466984087207117,-22.396035735103958,4.301990527298607e-111,Yes
1,ComBat,BART/RF,0.9983568959025092,0.3686543662068258,-18.257029341774107,1.8192370471661644e-74,Yes
2,ComBat,BART/RF,0.9935757420017988,0.4206861107542079,-22.620908433433353,2.698660546810476e-113,Yes
3,ComBat,BART/RF,,,,,No
0,ComBat,Riemannian,0.9785365242450821,0.20507455206114525,-40.05746348912631,0.0,Yes
1,ComBat,Riemannian,0.9983568959025092,0.21870400164310408,-35.284898579879325,1.0010639501446192e-272,Yes
2,ComBat,Riemannian,0.9935757420017988,0.23628420917384044,-37.24799682392431,1.1417252419650887e-303,Yes
3,ComBat,Riemannian,,,,,No
0,BART/RF,Riemannian,0.43466984087207117,0.20507455206114525,-8.584337234421788,9.136160021652828e-18,Yes
1,BART/RF,Riemannian,0.3686543662068258,0.21870400164310408,-3.8202910919782833,0.0001332942650974065,Yes
2,BART/RF,Riemannian,0.4206861107542079,0.23628420917384044,-6.093927461430122,1.1017359905805496e-09,Yes
3,BART/RF,Riemannian,,,,,No
